keyword,aliases,pronunciation,old_term,new_term,english,description,clinical_feature,related_disease,related_assessment,tool_used,evaluation_method,normal_rom,mmt_grade,normal_value,score_interpretation,cutoff_value,measurement_position,related_special_test,related_exercise,exercise_protocol,clinical_use,clinical_tip
ROM,"rom,ROM,관절가동범위,가동범위,알오엠,range of motion","알오엠","","관절가동범위","Range of Motion","관절가동범위(Range of Motion)는 관절에서 가능한 움직임의 범위를 평가하는 검사로 능동관절가동범위(AROM), 수동관절가동범위(PROM), 능동보조관절가동범위(AAROM)로 구분됨. 관절 구축(contracture), 통증, 기능 제한 여부를 평가하며 정형계 및 신경계 재활에서 기본적으로 사용됨.","관절 움직임 제한, 구축(contracture), 통증, 기능 저하","유착성 관절주머니염|뇌졸중|척수손상","ROM","각도계(Goniometer)|Inclinometer","관절축(axis)을 기준으로 시작 자세를 표준화한 후 움직임 끝 범위를 측정함","어깨관절 굽힘 180°|어깨관절 벌림 180°|어깨관절 가쪽돌림 90°|어깨관절 안쪽돌림 70°|팔꿉관절 굽힘 150°|무릎관절 굽힘 135°|발목관절 발등굽힘 20°|발목관절 발바닥굽힘 50°","","관절별 정상 ROM 기준","정상 범위 대비 감소 시 기능 제한 의심","반대측 대비 제한 시 비정상 가능성","앉은자세(Sitting)|바로누운자세(Supine)|엎드린자세(Prone)","","관절가동운동|스트레칭","수동운동→능동보조운동→능동운동","관절 기능 평가|수술 전후 비교|구축 평가","반드시 반대측과 비교하며 통증 유무 확인"
MMT,"mmt,MMT,도수근력검사,맨손근력검사,근력검사,manual muscle test,엠엠티","엠엠티","맨손근력검사","도수근력검사","Manual Muscle Test","도수근력검사(Manual Muscle Test)는 근육의 수의적 수축 능력과 저항에 대한 근력을 평가하는 검사로 Grade 0~5까지 분류함. 신경손상, 근육 약화, 기능적 움직임 제한 평가에 사용됨.","근력 저하, 움직임 제한, 근육 비대칭","뇌졸중|척수손상|말초신경손상","MMT","검사자 손|침상","중력에 대한 움직임과 저항 적용 여부를 평가함","","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","0: 수축 없음|1: 미세 수축 촉지|2: 중력 제거 상태 움직임 가능|3: 중력에 대항 가능|4: 중등도 저항 가능|5: 최대 저항 가능","Grade 3 이상 시 중력 대항 가능","근육별 표준 검사 자세","Break test|Make test","근력강화운동|저항운동","관절가동범위 회복→근활성화→저항운동","근력 평가|신경계 및 근골격계 환자 평가","보상 움직임(compensation) 여부 확인"
MAS,"mas,MAS,modified ashworth scale,수정애쉬워스척도,애쉬워스척도,근긴장도검사","마스","","수정 애쉬워스 척도","Modified Ashworth Scale","수정 애쉬워스 척도(Modified Ashworth Scale)는 상위운동신경원 병변 환자의 경직(spasticity)을 평가하는 도구로 빠른 속도의 수동 움직임(passive movement)을 적용하여 근긴장도 증가 정도를 평가함.","경직(spasticity), 근긴장도 증가, 움직임 제한","뇌졸중|뇌성마비|척수손상","MAS","검사자 손","빠른 속도로 관절을 수동 움직이며 저항과 catch를 평가함","","","0~4 scale","0 정상|1 약간 증가|1+ catch 후 약간 저항|2 대부분 ROM에서 저항 증가|3 수동 움직임 어려움|4 강직(rigid)","2 이상 시 기능 제한 가능성 증가","바로누운자세(Supine)","Passive stretch","스트레칭|관절가동운동","경직 감소→기능훈련","경직 평가|신경계 환자 평가","빠른 속도로 시행해야 정확한 평가 가능"
GMFM,"gmfm,GMFM,gross motor function measure,대운동기능평가,지엠에프엠","지엠에프엠","","대운동기능평가","Gross Motor Function Measure","대운동기능평가(Gross Motor Function Measure)는 뇌성마비 아동의 대운동 기능을 평가하는 표준화 도구로 눕기와 뒤집기, 앉기, 기기와 무릎서기, 서기, 걷기 및 달리기 항목으로 구성됨.","대운동 기능 저하, 이동 제한","뇌성마비","GMFM","매트(Mat)|계단|장난감","A~E 영역별 기능 수행 여부를 평가함","","","총점 기반 기능 평가","점수 높을수록 기능 수준 높음","영역별 기능 제한 확인","매트 환경(Mat setting)","Pediatric movement observation","보행훈련|기능훈련","기초 움직임→기능적 이동훈련","소아 재활 평가|뇌성마비 기능 평가","연령 및 발달 수준 고려 필요"
Berg Balance Scale,"berg balance scale,BBS,버그균형척도,균형평가,비비에스","비비에스","","버그균형척도","Berg Balance Scale","버그균형척도(Berg Balance Scale)는 정적 균형과 동적 균형 능력을 평가하는 도구로 앉기, 서기, 방향 전환, 한발서기 등 14개 항목으로 구성됨.","균형 저하, 낙상 위험, 체중이동 제한","뇌졸중|파킨슨병|노인","BBS","의자|발판|스톱워치","14개 균형 과제를 수행하며 점수를 측정함","","","56점 만점","41~56 낮은 낙상 위험|21~40 중등도 위험|0~20 높은 위험","41점 미만 시 낙상 위험 증가","선자세(Standing)|앉은자세(Sitting)","Functional balance test","균형훈련|체중이동훈련","정적 균형→동적 균형","낙상 위험 평가|균형 기능 평가","보조기 사용 여부 기록 필요"
TUG,"tug,TUG,timed up and go,일어나걷기검사,티유지,터그","터그","","일어나 걷기 검사","Timed Up and Go","일어나 걷기 검사(Timed Up and Go)는 기능적 이동성과 균형 및 낙상 위험도를 평가하는 검사로 의자에서 일어나 3m를 걷고 돌아와 다시 앉는 시간을 측정함.","보행 속도 감소, 균형 장애, 낙상 위험","뇌졸중|파킨슨병|노인","TUG","의자|3m 거리|스톱워치","앉은 상태에서 일어나 걷고 방향 전환 후 다시 앉기","","","10초 미만 정상","10초 미만 정상|10~20초 독립 가능|20~30초 기능 제한|30초 이상 낙상 위험 증가","13.5초 이상 시 낙상 위험 증가","앉은자세→선자세","Functional gait assessment","보행훈련|균형훈련","균형훈련→보행속도 향상","기능적 이동 평가|낙상 위험 평가","보조기 사용 여부 반드시 기록"
NIHSS,"nihss,NIHSS,미국국립보건원뇌졸중척도,뇌졸중척도","엔아이에이치에스에스","","국립보건원 뇌졸중 척도","NIH Stroke Scale","국립보건원 뇌졸중 척도(NIH Stroke Scale)는 뇌졸중 환자의 신경학적 손상 정도를 평가하는 도구로 의식 수준, 시야, 운동 기능, 감각, 언어 등을 포함한 11개 항목으로 구성됨.","편마비, 감각 저하, 언어 장애, 의식 저하","뇌졸중","NIHSS","반사망치|펜라이트","11개 신경학적 항목 평가","","","42점 만점","0 정상|1~4 경도|5~15 중등도|16~20 중증|21~42 매우 중증","5점 이상 시 기능 손상 가능성 증가","바로누운자세(Supine)|앉은자세(Sitting)","Neurologic examination","신경계 재활운동","급성기 안정→기능 회복","뇌졸중 중증도 평가","급성기 환자 필수 평가도구"
Barthel Index,"barthel index,바델지수,일상생활동작평가,adl평가","바델","","바델 지수","Barthel Index","바델 지수(Barthel Index)는 일상생활동작(Activity of Daily Living) 수행 능력을 평가하는 도구로 식사, 이동, 배변, 계단 오르기 등 10개 항목으로 구성됨.","일상생활 기능 저하, 기능 의존","뇌졸중|척수손상|노인","Barthel Index","평가지|관찰","일상생활동작 수행 수준을 평가함","","","100점 만점","0~20 완전 의존|21~60 중증 의존|61~90 중등도 의존|91~99 경도 의존|100 독립","80점 이상 시 비교적 독립적","관찰(Observation)","ADL assessment","일상생활동작 훈련|기능훈련","기초 ADL→복합 ADL","일상생활 독립도 평가","보호자 도움 수준 함께 확인"
FIM,"fim,FIM,functional independence measure,기능적독립척도,핌","핌","","기능적 독립 척도","Functional Independence Measure","기능적 독립 척도(Functional Independence Measure)는 운동 기능과 인지 기능을 포함한 재활 환자의 독립 수준을 평가하는 도구로 총 18개 항목으로 구성됨.","기능 저하, 도움 필요, 인지 기능 저하","뇌졸중|척수손상|외상성뇌손상","FIM","평가지|관찰","18개 기능 항목 수행 수준 평가","","","126점 만점","18 완전 의존|19~60 최대 도움|61~90 중등 도움|91~125 최소 도움|126 완전 독립","91점 이상 시 부분 독립 가능","관찰(Observation)","Functional assessment","기능훈련|일상생활동작 훈련","기능 회복→독립성 향상","재활 기능 독립도 평가","운동 기능과 인지 기능 모두 평가"
ASIA,"asia,ASIA,척수손상평가,american spinal injury association,에이시아","에이시아","","미국척수손상협회 손상척도","American Spinal Injury Association Scale","미국척수손상협회 손상척도(American Spinal Injury Association Scale)는 척수손상 환자의 감각 및 운동 기능을 평가하는 표준화 검사로 Dermatome과 Myotome 평가를 포함함.","감각 저하, 마비, 기능 저하","척수손상","ASIA","반사망치|안전핀|솜","피부분절(Dermatome) 및 근육분절(Myotome) 평가","","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","ASIA A~E","A 완전 손상|B 감각 보존|C 일부 운동 보존|D 기능적 운동 가능|E 정상","ASIA C 이상 시 기능적 보행 가능성 증가","바로누운자세(Supine)","Neurologic examination","근력강화운동|이동훈련","체위조절→기능 회복","척수손상 수준 평가","좌우 감각 비교 필수"
